fk_empresa;id_servidor;home_broker;timestamp;metodo;endpoint;status_code;latencia_ms;jitter_ms;packet_loss_percent;upload_mbps;download_mbps;categoria
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;POST;/api/orders/validate;504;170;3.5;0.0;0.299;11.7946;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;POST;/api/risk/check;500;130;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;POST;/api/risk/check;500;130;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;GET;/api/trades/summary;200;3100;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;GET;/api/quotes/VALE3;200;2500;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;POST;/api/risk/check;500;130;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;GET;/api/account/balance;200;45;3.5;0.0;0.299;11.7946;financeiro
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;GET;/api/trades;500;2400;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;POST;/api/risk/check;500;130;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:30:46;GET;/api/portfolio;500;1900;3.5;0.0;0.299;11.7946;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;DELETE;/api/orders/cancel;503;1000;4.75;0.0;0.2987;11.8005;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;DELETE;/api/orders/cancel;503;1000;4.75;0.0;0.2987;11.8005;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;GET;/api/trades;500;2400;4.75;0.0;0.2987;11.8005;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;POST;/api/b3/orders;502;400;4.75;0.0;0.2987;11.8005;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;POST;/api/risk/check;500;130;4.75;0.0;0.2987;11.8005;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;POST;/api/auth/logout;500;1800;4.75;0.0;0.2987;11.8005;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;POST;/api/order-preview;503;800;4.75;0.0;0.2987;11.8005;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;POST;/api/orders/sell;500;5000;4.75;0.0;0.2987;11.8005;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;GET;/api/quotes/VALE3;200;2500;4.75;0.0;0.2987;11.8005;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:03;POST;/api/risk/check;500;130;4.75;0.0;0.2987;11.8005;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;DELETE;/api/orders/cancel;503;1000;4.0;0.0;0.2953;11.8711;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;GET;/api/portfolio;500;1900;4.0;0.0;0.2953;11.8711;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;POST;/api/risk/check;500;130;4.0;0.0;0.2953;11.8711;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;GET;/api/quotes/PETR4;502;3000;4.0;0.0;0.2953;11.8711;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;POST;/api/b3/orders;502;400;4.0;0.0;0.2953;11.8711;ordens
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;POST;/api/risk/check;500;130;4.0;0.0;0.2953;11.8711;trades
2;3;SRV-DTIC-PROD;20-05-2026 20:31:18;GET;/api/trades;500;2400;4.0;0.0;0.2953;11.8711;trades
